ref,f,transition
4873621793.136408,4533213182.248088,12
5241057784.686958,4913096626.621251,12
5241076508.063858,4912589508.755189,12
5241076508.063858,4912581200.136978,12
5241234956.742962,4912737936.134005,12
5295648478.779764,4968074784.589978,12
5320215808.507983,4994011160.332463,12
5342826431.152103,5015287763.992527,12
5425414452.280102,5099181257.025518,12
5445456200.328967,5119172249.899095,12
5457155174.181067,5131067463.704596,12
5457038489.666568,5131204328.678823,12
5461205015.126817,5135154693.905186,12
5424570224.622953,5098717213.471572,12
5395811765.149469,5069670149.871857,12
5378334682.314854,5052111133.61194,12
5378493049.28772,5051430262.052895,12
5358923844.568131,5032814152.935081,12
5337581907.743975,5011611181.862869,12
5314779267.516875,4989342563.933435,12
5290489136.6799965,4964011888.643602,12
5238217901.902025,4911229558.845414,12
5263295011.621908,4936258451.645803,12
5206466455.594208,4877551471.175912,12
5210164300.327669,4881850640.118338,12
5150263548.156387,4819685129.713514,12
5075981598.3936825,4741964809.49299,12
4960415950.821563,4622363607.366969,12
5381523948.618338,5054483522.591895,12
5460920688.5848255,5134897080.792428,12
5461138095.194687,5135079880.845204,12
5453192299.404337,5127043912.121786,12
5453192299.404337,5127068165.60053,12
5427547621.752578,5101405159.48339,12
5445868581.036944,5119503713.480573,12
5362204039.000415,5035460144.664704,12
5461026309.837514,5134978180.83203,12
5241942178.783993,4914398340.835402,12
5249160558.882133,4918948939.97002,12
5248997404.928846,4918266479.788736,12
5249095464.352618,4918300222.019446,12
5248943942.8039465,4918408888.119049,12
5240168938.831388,4911872662.949863,12
5240020893.710752,4911654969.219666,12
5240031645.194171,4911504830.632303,12
5427378713.72891,5101147555.839723,12
5428355892.377585,5102002547.546306,12
5432514012.559268,5106386318.828257,12
5440704177.063123,5114551938.038939,12
5475318280.816929,5150241261.2737465,12
5479630434.480838,5154714453.213802,12
5242121545.200314,4914516520.268589,12
5245012040.562582,4917446489.860168,12
5242250988.799614,4914689377.861768,12
4938219563.713287,4600198093.972796,12
